category,product,expiry,status,total,main_store,dr_ahmad,dr_saly,dr_niveen,dr_sassani
"SKIN BOOSTERS, LIPS FILLER, WRINKLES, UNDER EYES",Profhilo Face,Aug-26,Expired,0,0,0,0,0,0
"SKIN REJUVENATION, SKIN BOOSTER, ANTI-AGING, CHIN FILLER",Xelarederm 2.2% 2 mL,Oct-27,OK,4,0,0,4,0,0
"SKIN REJUVENATION, SKIN BOOSTER, ANTI-AGING, CHIN FILLER",Y Bello Deep 1 mL,Dec-27,OK,81,70,0,11,0,0
"SKIN REJUVENATION, SKIN BOOSTER, ANTI-AGING, CHIN FILLER",Y Bello Volume 1 mL,Jul-27,OK,163,150,0,13,0,0
"SKIN REJUVENATION, SKIN BOOSTER, ANTI-AGING, CHIN FILLER",Teosyal Ultra Deep (2 × 1.2 mL),May-27,OK,10,6,0,4,0,0
"SKIN REJUVENATION, SKIN BOOSTER, ANTI-AGING, CHIN FILLER",Allier Melasma Bright (5 × 5 mL),Oct-28,OK,28,14,0,14,0,0
"SKIN REJUVENATION, SKIN BOOSTER, ANTI-AGING, CHIN FILLER",P B Serum Smooth,Sep-26,Expires this month,5,0,0,5,0,0
"SKIN REJUVENATION, SKIN BOOSTER, ANTI-AGING, CHIN FILLER",Allier Genowhite 3 mL,May-28,OK,17,13,0,4,0,0
HMW,Sunekos 1200 (1.5 mL × 2 vials),Nov-28,OK,6,3,3,0,0,0
BIOSTIMULATOR,Sunekos Performa (2 × 3.5 mL),Dec-27,OK,4,1,3,0,0,0
BIOSTIMULATOR,Sculptra (2 vials ≈ 5 mL min. each),Apr-28,OK,17,14,2,1,0,0
LMW,Sunekos Cell (1 treatment / 15 mL),Jul-27,OK,8,8,0,0,0,0
BODY FIRMING / SKIN TIGHTENING,Sunekos Body (1 kit 10 mL),Jul-27,OK,9.5,4,0,5,0.5,0
BODY FIRMING / SKIN TIGHTENING,Profhilo Body,,No date,0,0,0,0,0,0
MESOTHERAPY & ANTI-AGING,RRS Hyalift Proactive (3 mL syringe),Sep-28,OK,19,2,0,17,0,0
MESOTHERAPY & ANTI-AGING,BCN Mimik Peptides,Feb-27,Expiring ≤6 months,0,0,0,0,0,0
DERMAL FILLERS,RHA 2 (2 × 1 mL syringes),Apr-28,OK,9,2,4.5,2.5,0,0
DERMAL FILLERS,RHA 3 (2 × 1 mL syringes),Mar-28,OK,10.5,4,0.5,6,0,0
DERMAL FILLERS,Restylane Kysse,,No date,0,0,0,0,0,0
DERMAL FILLERS,Virtue Silk (2 × 1 mL syringes),Apr-28,OK,8,0,0,8,0,0
DERMAL FILLERS,Virtue Balance (2 × 1 mL syringes),Oct-28,OK,20.5,0,0,20.5,0,0
DERMAL FILLERS,Virtue Intense (2 × 1 mL syringes),Nov-28,OK,9.5,0,0,9.5,0,0
DERMAL FILLERS,Yvoire Classic,,No date,0,0,0,0,0,0
DERMAL FILLERS,Art Filler Lips (2 × 1 mL syringes),Jul-27,OK,0,0,0,0,0,0
DERMAL FILLERS,RHA 4 (2 × 1.2 mL syringes),Apr-28,OK,12,5,4.5,2.5,0,0
DERMAL FILLERS,Cytosial Volume 1.1 mL,Sep-26,Expires this month,29,0,0,29,0,0
DERMAL FILLERS,Cytosial Deep Wrinkles 1.1 mL,Aug-27,OK,8,0,0,8,0,0
DERMAL FILLERS,Juvederm Voluma (2 × 1 mL syringes),Jan-27,Expiring ≤6 months,6.5,3,0.5,3,0,0
DERMAL FILLERS,Restylane Lyft 1 mL syringe,Apr-27,OK,9,0,0,9,0,0
DERMAL FILLERS,Juvederm Volux,Jan-27,Expiring ≤6 months,0,0,0,0,0,0
DERMAL FILLERS,Juvederm Volift (2 × 1 mL syringes),Oct-26,Expiring ≤90 days,5.5,5,0,0.5,0,0
DERMAL FILLERS,Radiesse 1.5 cc (1.5 mL syringes),Oct-27,OK,5,0,0,5,0,0
DERMAL FILLERS,Yvoire Y Solutions (1 mL syringe),Jan-27,Expiring ≤6 months,10,5,0,5,0,0
DERMAL FILLERS,Fillmed Art Filler Volume (2 × 1 mL syringes),Mar-27,OK,0,0,0,0,0,0
DERMAL FILLERS,Kysense Volume (1 mL syringe),Apr-27,OK,13,8,0,0,0,5
DERMAL FILLERS,Neauvia Stimulate (1 mL syringe),,No date,0,0,0,0,0,0
DERMAL FILLERS,Neauvia Intense (1 mL syringe),Sep-27,OK,3,0,0,3,0,0
DERMAL FILLERS,Neauvia Intense Lips (1 mL syringe),Sep-27,OK,1,0,0,1,0,0
UNDER EYES & MESOTHERAPY,Redensity 2 (2 × 1 mL syringes),Oct-27,OK,3.5,1,0,2.5,0,0
UNDER EYES & MESOTHERAPY,Jalupro Young Eye 1 mL,Oct-28,OK,11,5,6,0,0,0
UNDER EYES & MESOTHERAPY,RRS Eyes (1.5 mL ampoule),Jul-27,OK,29,2,0,27,0,0
UNDER EYES & MESOTHERAPY,Allier Instant Glow (5 × 5 mL),May-27,OK,23,10,0,13,0,0
UNDER EYES & MESOTHERAPY,P B Serum Professional Lift +,,No date,0,0,0,0,0,0
BODY FILLER,Hyacorp MLF 2,Oct-27,OK,0,0,0,0,0,0
BODY FILLER,Neauvia Intense Rose 1 mL,Sep-27,OK,41,6,0,0,35,0
BODY FILLER,Kalos Volume (2 × 10 mL syringe),Nov-26,Expiring ≤90 days,7.5,6,0,0,1.5,0
BODY FILLER,DeneB Classic-H (10 mL syringe),Jul-28,OK,0,0,0,0,0,0
"DNA, UNDER EYES & ANTI-WRINKLES",Rejuran Healer for Full Face (2 × 2 mL syringes),Feb-27,Expiring ≤6 months,13.5,13,0.5,0,0,0
"DNA, UNDER EYES & ANTI-WRINKLES",Rejuran I for Eye Wrinkles (1 mL syringe),Jan-27,Expiring ≤6 months,21,9,12,0,0,0
"DNA, UNDER EYES & ANTI-WRINKLES",Plinest Fast (2 mL syringe),Aug-28,OK,4,3,1,0,0,0
"DNA, UNDER EYES & ANTI-WRINKLES",Plinest Gel,Dec-27,OK,0,0,0,0,0,0
"DNA, UNDER EYES & ANTI-WRINKLES",Rejuran S — Scar (1 mL syringe),Jul-27,OK,1,1,0,0,0,0
EXOSOMES,AnteAGE Brightening (vial),,No date,0,0,0,0,0,0
EXOSOMES,AnteAGE Exosome Solution (5 × 2 mL),Apr-27,OK,17,17,0,0,0,0
EXOSOMES,AnteAGE Biosome Solution (5 × 3 mL),Nov-26,Expiring ≤90 days,1,1,0,0,0,0
EXOSOMES,AnteAGE Biosome Brightening,Feb-27,Expiring ≤6 months,0,0,0,0,0,0
EXOSOMES,ASCE+ Hair Scalp Care (5 × 5 mL),Sep-27,OK,25,25,0,0,0,0
EXOSOMES,ASCE+ Skin Derma (5 × 5 mL),Sep-27,OK,0,0,0,0,0,0
PRP & METACELL,Bioginix PRP (tube),Jul-27,OK,17,17,0,0,0,0
PRP & METACELL,Metacell (kit),Dec-27,OK,29,29,0,0,0,0
"HMW, FAT DISSOLVING & SKIN TIGHTENING",PB Serum 2.0 Medium (2 mL syringe × 18 mL reconstitution),Apr-28,OK,6,5,0,0,0,1
"HMW, FAT DISSOLVING & SKIN TIGHTENING",PB Serum HA 2.0 High,Jul-27,OK,0,0,0,0,0,0
FILLER REMOVAL,PBS Drain + Professional,Jul-27,OK,28,27,0,0,1,0
ISDIN,Retinal Intense Serum 50 mL,3M,No date,6,6,0,0,0,0
ISDIN,Melaclear 1.8% 30 mL,12M,No date,5,5,0,0,0,0
ISDIN,Auriderm Cream 50 mL,6M,No date,1,1,0,0,0,0
ISDIN,K-Ox Eyes Serum 15 mL,12M,No date,4,4,0,0,0,0
ISDIN,Essential Cleansing 200 mL,18M,No date,3,3,0,0,0,0
ISDIN,Hyaluronic Eyes 15 g,6M,No date,2,2,0,0,0,0
ISDIN,ISDIN Invisible Stick,,No date,0,0,0,0,0,0
ISDIN,Fusion Water Magic Glow SPF50+ B1G1,,No date,3,3,0,0,0,0
ISDIN,Clear & Glow Kit,,No date,3,3,0,0,0,0
ISDIN,Glow & Protect Kit,,No date,1,1,0,0,0,0
ISDIN,ISDIN Cicapost Cream,,No date,0,0,0,0,0,0
ISDIN,Salicylic Renewal 30 mL,6M,No date,5,5,0,0,0,0
ISDIN,A.G.E Reverse Night Cream 50 mL,12M,No date,5,5,0,0,0,0
ISDIN — HYALURONIC,Concentrate Serum 30 mL,12M,No date,5,5,0,0,0,0
ISDIN — HYALURONIC,Moisture Sensitive Skin,12M,No date,21,21,0,0,0,0
ISDIN — HYALURONIC,Moisture Oily Skin,6M,No date,4,4,0,0,0,0
ISDIN — HYALURONIC,Moisture Normal Skin,12M,No date,12,12,0,0,0,0
SECRET TIPS,Semi Insulated,Jun-28,OK,21,21,0,0,0,0
SECRET TIPS,Non-Insulated,Nov-28,OK,15,15,0,0,0,0
ULTHERA TRANSDUCERS,Transducer DS 7-3.0 (number of lines),Dec-26,Expiring ≤6 months,3534,3534,0,0,0,0
ULTHERA TRANSDUCERS,Transducer DS 4-4.5 (number of lines),Feb-27,Expiring ≤6 months,2068,2068,0,0,0,0
"SKIN REJUVENATION, TRANEXAMIC ACID, PDRN & MICRONEEDLING",Retimel Peel,Jan-28,OK,15,12,0,0,3,0
"SKIN REJUVENATION, TRANEXAMIC ACID, PDRN & MICRONEEDLING",LC TX whitening injection (6 × 5 mL),Apr-27,OK,16,12,0,0,4,0
"SKIN REJUVENATION, TRANEXAMIC ACID, PDRN & MICRONEEDLING",Innovial Lightening Cream,Nov-27,OK,14,12,0,0,2,0
"SKIN REJUVENATION, TRANEXAMIC ACID, PDRN & MICRONEEDLING",Ameson Cell Whitening Kit,Oct-28,OK,1,1,0,0,0,0
"SKIN REJUVENATION, TRANEXAMIC ACID, PDRN & MICRONEEDLING",Ameson Open Pore Kit,Apr-27,OK,1,1,0,0,0,0
"SKIN REJUVENATION, TRANEXAMIC ACID, PDRN & MICRONEEDLING",Ameson Scar Kit,Jul-28,OK,0,0,0,0,0,0
CEBELIA CREAMS & OTHER SKIN CARE,Cebelia Extreme Care,6M,No date,0,0,0,0,0,0
CEBELIA CREAMS & OTHER SKIN CARE,Cebelia Eye Brightening,12M,No date,35,35,0,0,0,0
CEBELIA CREAMS & OTHER SKIN CARE,Cebelia LCE Balm,6M,No date,25,25,0,0,0,0
CEBELIA CREAMS & OTHER SKIN CARE,Cebelia LCE Regard,6M,No date,17,17,0,0,0,0
CEBELIA CREAMS & OTHER SKIN CARE,Cebelia Reinforced Depigmenting,Feb-27,Expiring ≤6 months,37,37,0,0,0,0
CEBELIA CREAMS & OTHER SKIN CARE,Cebelia System Home Care,Nov-26,Expiring ≤90 days,2,2,0,0,0,0
CEBELIA CREAMS & OTHER SKIN CARE,Cebelia Soothing Milk,12M,No date,25,25,0,0,0,0
CEBELIA CREAMS & OTHER SKIN CARE,Cebelia Anti-Brown Spots Cream,12M,No date,0,0,0,0,0,0
CEBELIA CREAMS & OTHER SKIN CARE,Cebelia UV Protect L-50,12M,No date,44,44,0,0,0,0
CEBELIA CREAMS & OTHER SKIN CARE,Cebelia Intimate Depigmenting Cream,6M,No date,11,11,0,0,0,0
CEBELIA CREAMS & OTHER SKIN CARE,Cebelia Gentle Intimate Cleanser,6M,No date,13,13,0,0,0,0
CEBELIA CREAMS & OTHER SKIN CARE,K Ceutic SPF 50,Mar-27,OK,0,0,0,0,0,0
CEBELIA CREAMS & OTHER SKIN CARE,Centrico Peel Off Mask,Nov-26,Expiring ≤90 days,0,0,0,0,0,0
CEBELIA CREAMS & OTHER SKIN CARE,iS Clinical Moisturizing Complex 50 g,Nov-28,OK,2,2,0,0,0,0
CEBELIA CREAMS & OTHER SKIN CARE,Salicylic Cleansing Gel 200 mL,Jul-28,OK,0,0,0,0,0,0
CEBELIA CREAMS & OTHER SKIN CARE,Brightening Cleanser 200 mL,Jan-28,OK,4,4,0,0,0,0
CEBELIA CREAMS & OTHER SKIN CARE,Delicate Skin Cleansing Gel 200 mL,Aug-28,OK,1,1,0,0,0,0
CEBELIA CREAMS & OTHER SKIN CARE,Delicate Daily Moisturizer 50 g,Feb-29,OK,2,2,0,0,0,0
CEBELIA CREAMS & OTHER SKIN CARE,Redness Rescue 30 g,Mar-28,OK,0,0,0,0,0,0
CEBELIA CREAMS & OTHER SKIN CARE,Allier Rosa Intimate 100 mL,Feb-27,Expiring ≤6 months,1,1,0,0,0,0
CEBELIA CREAMS & OTHER SKIN CARE,Allier Hydro Pores Min 50 mL,Mar-27,OK,6,6,0,0,0,0
CEBELIA CREAMS & OTHER SKIN CARE,Allier Eye Contour 15 mL,Mar-27,OK,6,6,0,0,0,0
CEBELIA CREAMS & OTHER SKIN CARE,Allier Regenerator Brightener 50 mL,Aug-28,OK,5,5,0,0,0,0
THREADS & SCREWS,ES Line 3D Thread,Jun-27,OK,53,0,0,2,51,0
THREADS & SCREWS,Croquis PCS,,No date,0,0,0,0,0,0
